GEOID,locality,group,estimate_insured,estimate_uninsured,moe_insured,moe_uninsured,total_est,total_moe,percent_insured,percent_uninsured,year
51540,"Charlottesville city, Virginia",All,43037,2877,521,532,45914,79,93.73,6.27,2022
51540,"Charlottesville city, Virginia",White alone,29809,1629,428,336,31438,448,94.82,5.18,2022
51540,"Charlottesville city, Virginia",Black or African American alone,6979,907,489,353,7886,358,88.5,11.5,2022
51540,"Charlottesville city, Virginia",American Indian and Alaska Native alone,70,0,42,28,70,42,100,0,2022
51540,"Charlottesville city, Virginia",Asian alone,2955,276,193,118,3231,201,91.46,8.54,2022
51540,"Charlottesville city, Virginia",Native Hawaiian and Other Pacific Islander alone,0,0,28,28,0,28,NA,NA,2022
51540,"Charlottesville city, Virginia",Some other race alone,547,0,244,28,547,244,100,0,2022
51540,"Charlottesville city, Virginia",Two or more races,2677,65,471,57,2742,472,97.63,2.37,2022
51540,"Charlottesville city, Virginia",Hispanic or Latino,2189,461,191,206,2650,62,82.6,17.4,2022
51540,"Charlottesville city, Virginia",White non Hispanic,28756,1195,323,287,29951,231,96.01,3.99,2022
