GEOID,tract,locality,race,group_total,group_total_moe,edu_level,estimate,percent,year,county,locality_num,tract_num,tractnames
51540000201,Census Tract 2.01,Charlottesville city,White,1222,282,less_than_hs,87,7.12,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,White,1222,282,hs_only,284,23.24,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,White,1222,282,bachelors_up,851,69.64,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,White_non_hisp,1097,211,less_than_hs,33,3.01,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,White_non_hisp,1097,211,hs_only,213,19.42,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,White_non_hisp,1097,211,bachelors_up,851,77.58,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Black,382,130,less_than_hs,111,29.06,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Black,382,130,hs_only,260,68.06,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Black,382,130,bachelors_up,11,2.88,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Amer_Indian,0,13,less_than_hs,0,NA,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Amer_Indian,0,13,hs_only,0,NA,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Amer_Indian,0,13,bachelors_up,0,NA,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Asian,18,17,less_than_hs,0,0,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Asian,18,17,hs_only,0,0,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Asian,18,17,bachelors_up,18,100,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,NHPI,0,13,less_than_hs,0,NA,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,NHPI,0,13,hs_only,0,NA,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,NHPI,0,13,bachelors_up,0,NA,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Other,77,103,less_than_hs,0,0,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Other,77,103,hs_only,0,0,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Other,77,103,bachelors_up,77,100,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Multi,244,211,less_than_hs,0,0,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Multi,244,211,hs_only,146,59.84,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Multi,244,211,bachelors_up,98,40.16,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Hispanic,178,181,less_than_hs,54,30.34,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Hispanic,178,181,hs_only,120,67.42,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Hispanic,178,181,bachelors_up,4,2.25,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000202,Census Tract 2.02,Charlottesville city,White,925,288,less_than_hs,165,17.84,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,White,925,288,hs_only,115,12.43,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,White,925,288,bachelors_up,645,69.73,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,White_non_hisp,892,288,less_than_hs,165,18.5,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,White_non_hisp,892,288,hs_only,115,12.89,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,White_non_hisp,892,288,bachelors_up,612,68.61,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Black,694,250,less_than_hs,86,12.39,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Black,694,250,hs_only,486,70.03,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Black,694,250,bachelors_up,122,17.58,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Amer_Indian,0,19,less_than_hs,0,NA,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Amer_Indian,0,19,hs_only,0,NA,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Amer_Indian,0,19,bachelors_up,0,NA,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Asian,126,70,less_than_hs,0,0,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Asian,126,70,hs_only,0,0,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Asian,126,70,bachelors_up,126,100,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,NHPI,0,19,less_than_hs,0,NA,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,NHPI,0,19,hs_only,0,NA,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,NHPI,0,19,bachelors_up,0,NA,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Other,0,19,less_than_hs,0,NA,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Other,0,19,hs_only,0,NA,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Other,0,19,bachelors_up,0,NA,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Multi,0,19,less_than_hs,0,NA,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Multi,0,19,hs_only,0,NA,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Multi,0,19,bachelors_up,0,NA,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Hispanic,33,52,less_than_hs,0,0,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Hispanic,33,52,hs_only,0,0,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Hispanic,33,52,bachelors_up,33,100,2022,Charlottesville,540,000202,10th & Page-Venable
51540000302,Census Tract 3.02,Charlottesville city,White,1863,359,less_than_hs,83,4.46,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,White,1863,359,hs_only,684,36.71,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,White,1863,359,bachelors_up,1096,58.83,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,White_non_hisp,1627,274,less_than_hs,7,0.43,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,White_non_hisp,1627,274,hs_only,578,35.53,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,White_non_hisp,1627,274,bachelors_up,1042,64.04,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,Black,277,141,less_than_hs,46,16.61,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,Black,277,141,hs_only,144,51.99,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,Black,277,141,bachelors_up,87,31.41,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,Amer_Indian,21,31,less_than_hs,0,0,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,Amer_Indian,21,31,hs_only,0,0,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,Amer_Indian,21,31,bachelors_up,21,100,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,Asian,42,36,less_than_hs,2,4.76,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,Asian,42,36,hs_only,0,0,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,Asian,42,36,bachelors_up,40,95.24,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,NHPI,0,13,less_than_hs,0,NA,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,NHPI,0,13,hs_only,0,NA,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,NHPI,0,13,bachelors_up,0,NA,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,Other,21,36,less_than_hs,0,0,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,Other,21,36,hs_only,0,0,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,Other,21,36,bachelors_up,21,100,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,Multi,181,105,less_than_hs,11,6.08,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,Multi,181,105,hs_only,146,80.66,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,Multi,181,105,bachelors_up,24,13.26,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,Hispanic,253,190,less_than_hs,76,30.04,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,Hispanic,253,190,hs_only,106,41.9,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Census Tract 3.02,Charlottesville city,Hispanic,253,190,bachelors_up,71,28.06,2022,Charlottesville,540,000302,Woolen Mills
51540000401,Census Tract 4.01,Charlottesville city,White,1550,233,less_than_hs,75,4.84,2022,Charlottesville,540,000401,Ridge St.
51540000401,Census Tract 4.01,Charlottesville city,White,1550,233,hs_only,521,33.61,2022,Charlottesville,540,000401,Ridge St.
51540000401,Census Tract 4.01,Charlottesville city,White,1550,233,bachelors_up,954,61.55,2022,Charlottesville,540,000401,Ridge St.
