year,division,subgroup,count_below_10,count_above_10,total_count,percent_below_10,percent_above_10
2022 - 2023,ACPS & CCS,All Students,14480,3304,17784,81.42,18.58
2022 - 2023,ACPS & CCS,American Indian,NA,NA,NA,NA,NA
2022 - 2023,ACPS & CCS,Asian,885,125,1010,87.62,12.38
2022 - 2023,ACPS & CCS,Black,1960,759,2719,72.09,27.91
2022 - 2023,ACPS & CCS,Economically Disadvantaged,4591,2040,6631,69.24,30.76
2022 - 2023,ACPS & CCS,Female,7023,1596,8619,81.48,18.52
2022 - 2023,ACPS & CCS,Hispanic,1987,700,2687,73.95,26.05
2022 - 2023,ACPS & CCS,Male,7449,1703,9152,81.39,18.61
2022 - 2023,ACPS & CCS,Multiple Races,1169,368,1537,76.06,23.94
2022 - 2023,ACPS & CCS,Native Hawaiian,NA,NA,NA,NA,NA
2022 - 2023,ACPS & CCS,Students with Disabilities,1687,588,2275,74.15,25.85
2022 - 2023,ACPS & CCS,White,8459,1347,9806,86.26,13.74
