GEOID,locality,tract,label,estimate,moe,total_households,percent,year,county,locality_num,tract_num,tractnames
51540000201,Charlottesville city,Census Tract 2.01,Owner occupied,336,84,1224,27.45,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Charlottesville city,Census Tract 2.01,Renter occupied,888,227,1224,72.55,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000202,Charlottesville city,Census Tract 2.02,Owner occupied,136,84,1805,7.53,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Charlottesville city,Census Tract 2.02,Renter occupied,1669,267,1805,92.47,2023,Charlottesville,540,000202,10th & Page-Venable
51540000302,Charlottesville city,Census Tract 3.02,Owner occupied,755,168,1677,45.02,2023,Charlottesville,540,000302,Woolen Mills
51540000302,Charlottesville city,Census Tract 3.02,Renter occupied,922,187,1677,54.98,2023,Charlottesville,540,000302,Woolen Mills
51540000401,Charlottesville city,Census Tract 4.01,Owner occupied,667,145,1412,47.24,2023,Charlottesville,540,000401,Ridge St.
51540000401,Charlottesville city,Census Tract 4.01,Renter occupied,745,155,1412,52.76,2023,Charlottesville,540,000401,Ridge St.
51540000402,Charlottesville city,Census Tract 4.02,Owner occupied,1329,217,2162,61.47,2023,Charlottesville,540,000402,Belmont
51540000402,Charlottesville city,Census Tract 4.02,Renter occupied,833,162,2162,38.53,2023,Charlottesville,540,000402,Belmont
51540000501,Charlottesville city,Census Tract 5.01,Owner occupied,686,166,1646,41.68,2023,Charlottesville,540,000501,Fifeville-Cherry Avenue
51540000501,Charlottesville city,Census Tract 5.01,Renter occupied,960,196,1646,58.32,2023,Charlottesville,540,000501,Fifeville-Cherry Avenue
51540000502,Charlottesville city,Census Tract 5.02,Owner occupied,1157,210,2395,48.31,2023,Charlottesville,540,000502,Fry's Springs
51540000502,Charlottesville city,Census Tract 5.02,Renter occupied,1238,202,2395,51.69,2023,Charlottesville,540,000502,Fry's Springs
51540000600,Charlottesville city,Census Tract 6,Owner occupied,76,43,1004,7.57,2023,Charlottesville,540,000600,JPA-Fontaine
51540000600,Charlottesville city,Census Tract 6,Renter occupied,928,194,1004,92.43,2023,Charlottesville,540,000600,JPA-Fontaine
51540000700,Charlottesville city,Census Tract 7,Owner occupied,892,129,1752,50.91,2023,Charlottesville,540,000700,Barracks-Rugby
51540000700,Charlottesville city,Census Tract 7,Renter occupied,860,167,1752,49.09,2023,Charlottesville,540,000700,Barracks-Rugby
51540000800,Charlottesville city,Census Tract 8,Owner occupied,1123,161,1523,73.74,2023,Charlottesville,540,000800,Greenbrier-Meadows
51540000800,Charlottesville city,Census Tract 8,Renter occupied,400,107,1523,26.26,2023,Charlottesville,540,000800,Greenbrier-Meadows
51540000900,Charlottesville city,Census Tract 9,Owner occupied,712,103,1027,69.33,2023,Charlottesville,540,000900,Locust Grove
51540000900,Charlottesville city,Census Tract 9,Renter occupied,315,90,1027,30.67,2023,Charlottesville,540,000900,Locust Grove
51540001000,Charlottesville city,Census Tract 10,Owner occupied,745,184,2072,35.96,2023,Charlottesville,540,001000,Downtown Area
51540001000,Charlottesville city,Census Tract 10,Renter occupied,1327,268,2072,64.04,2023,Charlottesville,540,001000,Downtown Area
