GEOID,locality,group,estimate_insured,estimate_uninsured,moe_insured,moe_uninsured,total_est,total_moe,percent_insured,percent_uninsured,year
51003,"Albemarle County, Virginia",All,106051,6112,818,841,112163,191,94.55,5.45,2023
51003,"Albemarle County, Virginia",White alone,82824,3228,798,527,86052,680,96.25,3.75,2023
51003,"Albemarle County, Virginia",Black or African American alone,8934,741,478,252,9675,428,92.34,7.66,2023
51003,"Albemarle County, Virginia",American Indian and Alaska Native alone,111,11,88,16,122,90,90.98,9.02,2023
51003,"Albemarle County, Virginia",Asian alone,5881,432,358,200,6313,332,93.16,6.84,2023
51003,"Albemarle County, Virginia",Native Hawaiian and Other Pacific Islander alone,34,0,49,31,34,49,100,0,2023
51003,"Albemarle County, Virginia",Some other race alone,1749,870,486,497,2619,738,66.78,33.22,2023
51003,"Albemarle County, Virginia",Two or more races,6518,830,902,334,7348,1028,88.7,11.3,2023
51003,"Albemarle County, Virginia",Hispanic or Latino,5951,2222,565,569,8173,155,72.81,27.19,2023
51003,"Albemarle County, Virginia",White non Hispanic,80655,2542,612,461,83197,387,96.94,3.06,2023
