GEOID,locality,estimate,moe,pop_25_over,percent,label,year
51003,"Albemarle County, Virginia",23966,1176,77950,30.75,Graduate or professional degree,2023
51003,"Albemarle County, Virginia",73623,488,77950,94.45,High school graduate or higher,2023
51003,"Albemarle County, Virginia",47238,1171,77950,60.6,Bachelor's degree or higher,2023
51003,"Albemarle County, Virginia",23126,918,76936,30.06,Graduate or professional degree,2022
51003,"Albemarle County, Virginia",72186,538,76936,93.83,High school graduate or higher,2022
51003,"Albemarle County, Virginia",46262,1172,76936,60.13,Bachelor's degree or higher,2022
51003,"Albemarle County, Virginia",21774,921,75879,28.7,Graduate or professional degree,2021
51003,"Albemarle County, Virginia",70810,700,75879,93.32,High school graduate or higher,2021
51003,"Albemarle County, Virginia",44704,996,75879,58.91,Bachelor's degree or higher,2021
51003,"Albemarle County, Virginia",20865,956,73818,28.27,Graduate or professional degree,2020
51003,"Albemarle County, Virginia",68406,635,73818,92.67,High school graduate or higher,2020
51003,"Albemarle County, Virginia",43360,998,73818,58.74,Bachelor's degree or higher,2020
51003,"Albemarle County, Virginia",19454,758,72937,26.67,Graduate or professional degree,2019
51003,"Albemarle County, Virginia",67148,754,72937,92.06,High school graduate or higher,2019
51003,"Albemarle County, Virginia",40215,1023,72937,55.14,Bachelor's degree or higher,2019
51003,"Albemarle County, Virginia",18760,811,71888,26.1,Graduate or professional degree,2018
51003,"Albemarle County, Virginia",65688,685,71888,91.38,High school graduate or higher,2018
51003,"Albemarle County, Virginia",38487,1149,71888,53.54,Bachelor's degree or higher,2018
