GEOID,locality,tract,estimate,moe,total_units,percent,level,rent_burden,year,county,locality_num,tract_num,tractnames
51003010100,Albemarle County,Census Tract 101,42,69.476614770727,268,15.67,Burdened,30% to 49% household income,2023,Albemarle,003,010100,Free Union
51003010100,Albemarle County,Census Tract 101,156,76.52450587883597,268,58.21,Not burdened,Less than 30% household income,2023,Albemarle,003,010100,Free Union
51003010100,Albemarle County,Census Tract 101,32,33,268,11.94,Severely Burdened,Over 50% household income,2023,Albemarle,003,010100,Free Union
51003010201,Albemarle County,Census Tract 102.01,6,28.6705423736629,227,2.64,Burdened,30% to 49% household income,2023,Albemarle,003,010201,Charlottesville-Albemarle Airport
51003010201,Albemarle County,Census Tract 102.01,163,87.43569065318808,227,71.81,Not burdened,Less than 30% household income,2023,Albemarle,003,010201,Charlottesville-Albemarle Airport
51003010201,Albemarle County,Census Tract 102.01,41,39,227,18.06,Severely Burdened,Over 50% household income,2023,Albemarle,003,010201,Charlottesville-Albemarle Airport
51003010202,Albemarle County,Census Tract 102.02,23,29.223278392404914,154,14.94,Burdened,30% to 49% household income,2023,Albemarle,003,010202,Earlysville
51003010202,Albemarle County,Census Tract 102.02,49,43.89760813529594,154,31.82,Not burdened,Less than 30% household income,2023,Albemarle,003,010202,Earlysville
51003010202,Albemarle County,Census Tract 102.02,33,36,154,21.43,Severely Burdened,Over 50% household income,2023,Albemarle,003,010202,Earlysville
51003010301,Albemarle County,Census Tract 103.01,15,31.843366656181317,122,12.3,Burdened,30% to 49% household income,2023,Albemarle,003,010301,Berkmar Drive
51003010301,Albemarle County,Census Tract 103.01,51,48.61069841094653,122,41.8,Not burdened,Less than 30% household income,2023,Albemarle,003,010301,Berkmar Drive
51003010301,Albemarle County,Census Tract 103.01,42,33,122,34.43,Severely Burdened,Over 50% household income,2023,Albemarle,003,010301,Berkmar Drive
51003010302,Albemarle County,Census Tract 103.02,31,36.0416425818802,128,24.22,Burdened,30% to 49% household income,2023,Albemarle,003,010302,Polo Grounds Road
51003010302,Albemarle County,Census Tract 103.02,80,56.55970296951709,128,62.5,Not burdened,Less than 30% household income,2023,Albemarle,003,010302,Polo Grounds Road
51003010302,Albemarle County,Census Tract 103.02,17,28,128,13.28,Severely Burdened,Over 50% household income,2023,Albemarle,003,010302,Polo Grounds Road
51003010303,Albemarle County,Census Tract 103.03,139,93.56281312572854,311,44.69,Burdened,30% to 49% household income,2023,Albemarle,003,010303,Hollymead
51003010303,Albemarle County,Census Tract 103.03,96,64.43601477434805,311,30.87,Not burdened,Less than 30% household income,2023,Albemarle,003,010303,Hollymead
51003010303,Albemarle County,Census Tract 103.03,76,59,311,24.44,Severely Burdened,Over 50% household income,2023,Albemarle,003,010303,Hollymead
51003010401,Albemarle County,Census Tract 104.01,39,34.322004603461025,623,6.26,Burdened,30% to 49% household income,2023,Albemarle,003,010401,Stony Point-Keswick
51003010401,Albemarle County,Census Tract 104.01,357,136.21673905948563,623,57.3,Not burdened,Less than 30% household income,2023,Albemarle,003,010401,Stony Point-Keswick
51003010401,Albemarle County,Census Tract 104.01,81,60,623,13,Severely Burdened,Over 50% household income,2023,Albemarle,003,010401,Stony Point-Keswick
51003010402,Albemarle County,Census Tract 104.02,42,38.48376280978771,173,24.28,Burdened,30% to 49% household income,2023,Albemarle,003,010402,Village of Rivanna
