year,division,subgroup,count_below_10,count_above_10,total_count,percent_below_10,percent_above_10
2023 - 2024,ACPS & CCS,All Students,14937,2800,17737,84.21,15.79
2023 - 2024,ACPS & CCS,American Indian,15,2,17,88.24,11.76
2023 - 2024,ACPS & CCS,Asian,990,116,1106,89.51,10.49
2023 - 2024,ACPS & CCS,Black,1907,714,2621,72.76,27.24
2023 - 2024,ACPS & CCS,Economically Disadvantaged,5285,1938,7223,73.17,26.83
2023 - 2024,ACPS & CCS,Female,7217,1370,8587,84.05,15.95
2023 - 2024,ACPS & CCS,Hispanic,2196,651,2847,77.13,22.87
2023 - 2024,ACPS & CCS,Male,7710,1426,9136,84.39,15.61
2023 - 2024,ACPS & CCS,Multiple Races,1187,334,1521,78.04,21.96
2023 - 2024,ACPS & CCS,Native Hawaiian,NA,NA,NA,NA,NA
2023 - 2024,ACPS & CCS,Students with Disabilities,1767,506,2273,77.74,22.26
2023 - 2024,ACPS & CCS,White,8634,983,9617,89.78,10.22
