region_fips,locality,med_earnings_est,med_earn_adjusted_2023,year
"51003,51540",Charlottesville-Albemarle Region,30260.25137211855,39939.82,2012
"51003,51540",Charlottesville-Albemarle Region,31943.77671451356,41500,2013
"51003,51540",Charlottesville-Albemarle Region,32885.07721544309,42058.81,2014
"51003,51540",Charlottesville-Albemarle Region,33015.82450130969,42263.79,2015
"51003,51540",Charlottesville-Albemarle Region,33128.06173842405,41833.06,2016
"51003,51540",Charlottesville-Albemarle Region,34350.478494623654,42318.71,2017
"51003,51540",Charlottesville-Albemarle Region,35308.81515230409,42616.97,2018
"51003,51540",Charlottesville-Albemarle Region,37408.302928219746,44461.29,2019
"51003,51540",Charlottesville-Albemarle Region,39112.58252171624,45359.02,2020
"51003,51540",Charlottesville-Albemarle Region,41571.554169402494,47545.17,2021
"51003,51540",Charlottesville-Albemarle Region,45837.85470894463,48776.12,2022
"51003,51540",Charlottesville-Albemarle Region,48040.568318909,48040.57,2023
