status,year,worker_type,number
live_here_work_here,2022,workers,40122
live_here_work_here,2022,younger,8288
live_here_work_here,2022,middle_age,21418
live_here_work_here,2022,older,10416
live_here_work_here,2022,low_wage,5193
live_here_work_here,2022,mid_wage,9748
live_here_work_here,2022,hi_wage,25181
live_here_work_outside,2022,workers,18731
live_here_work_outside,2022,younger,4570
live_here_work_outside,2022,middle_age,9529
live_here_work_outside,2022,older,4632
live_here_work_outside,2022,low_wage,2992
live_here_work_outside,2022,mid_wage,5017
live_here_work_outside,2022,hi_wage,10722
live_outside_work_here,2022,workers,43168
live_outside_work_here,2022,younger,10416
live_outside_work_here,2022,middle_age,22393
live_outside_work_here,2022,older,10359
live_outside_work_here,2022,low_wage,6162
live_outside_work_here,2022,mid_wage,11991
live_outside_work_here,2022,hi_wage,25015
live_here_work_here,2012,workers,39617
live_here_work_here,2012,younger,8092
live_here_work_here,2012,middle_age,21520
live_here_work_here,2012,older,10005
live_here_work_here,2012,low_wage,7136
live_here_work_here,2012,mid_wage,13511
live_here_work_here,2012,hi_wage,18970
live_here_work_outside,2012,workers,15286
live_here_work_outside,2012,younger,3875
live_here_work_outside,2012,middle_age,8095
live_here_work_outside,2012,older,3316
live_here_work_outside,2012,low_wage,3605
live_here_work_outside,2012,mid_wage,5388
live_here_work_outside,2012,hi_wage,6293
live_outside_work_here,2012,workers,35808
live_outside_work_here,2012,younger,8407
live_outside_work_here,2012,middle_age,20115
live_outside_work_here,2012,older,7286
live_outside_work_here,2012,low_wage,7044
live_outside_work_here,2012,mid_wage,14001
live_outside_work_here,2012,hi_wage,14763
live_here_work_here,2002,workers,30205
live_here_work_here,2002,younger,6642
live_here_work_here,2002,middle_age,18635
live_here_work_here,2002,older,4928
live_here_work_here,2002,low_wage,7474
live_here_work_here,2002,mid_wage,14160
live_here_work_here,2002,hi_wage,8571
live_here_work_outside,2002,workers,9994
live_here_work_outside,2002,younger,2834
live_here_work_outside,2002,middle_age,5786
live_here_work_outside,2002,older,1374
live_here_work_outside,2002,low_wage,3065
live_here_work_outside,2002,mid_wage,4047
live_here_work_outside,2002,hi_wage,2882
live_outside_work_here,2002,workers,28680
live_outside_work_here,2002,younger,8087
live_outside_work_here,2002,middle_age,16887
live_outside_work_here,2002,older,3706
live_outside_work_here,2002,low_wage,7814
live_outside_work_here,2002,mid_wage,14755
live_outside_work_here,2002,hi_wage,6111
