Row #,CocState,CoC,Coc_ID,HudNum,Status,year,Organization ID,Organization Name,HMIS Org ID,useHmisDb,Project ID,Project Name,HMIS Project ID,HIC Date,Project Type,Bed Type,Geo Code,HMIS Participating,Inventory Type,beginsOperationsWithinYear,Target Population,mcKinneyVentoEsg,mcKinneyVentoEsgEs,mcKinneyVentoEsgRrh,mcKinneyVentoEsgCov,mcKinneyVentoEsgEsCov,mcKinneyVentoEsgRrhCov,mcKinneyVentoCoc,mcKinneyVentoCocSh,mcKinneyVentoCocTh,mcKinneyVentoCocPsh,mcKinneyVentoCocRrh,mcKinneyVentoCocSro,mcKinneyVentoCocThRrh,mcKinneyVentoSpC,mcKinneyVentoS8,mcKinneyVentoShp,mcKinneyVentoYhdp,mcKinneyVentoYhdpRenewals,federalFundingVash,federalFundingSsvf,federalFundingGpd,federalFundingGpdBh,federalFundingGpdLd,federalFundingGpdHh,federalFundingGpdCt,federalFundingGpdSith,federalFundingGpdTp,federalFundingHchv,federalFundingHchvCrs,federalFundingHchvSh,federalFundingBcp,federalFundingTlp,federalFundingMgh,federalFundingRhyDp,federalFundingHopwa,federalFundingHopwaHmv,federalFundingHopwaPh,federalFundingHopwaStsf,federalFundingHopwaTh,federalFundingHopwaCovid,federalFundingPih,federalFundingHome,federalFundingHomeArp,federalFundingIndianEhv,federalFundingOther,federalFundingOtherSpecify,housingType,Victim Service Provider,address1,address2,city,state,zip,Beds HH w/ Children,Units HH w/ Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Beds HH w/o Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,Beds HH w/ only Children,CH Beds HH w only Children,Year-Round Beds,DV Beds,Total Seasonal Beds,Availability Start Date,Availability End Date,O/V Beds,PIT Count,Total Beds,Updated On,mergedDefunctYear,questionUsesDescriptorElements,questionDesiresToUseDescriptorElements,notes,projectNotes,sandyRelated,sandyRelatedNote,HOPWAMedAssistedLivingFac
618508,VA,Charlottesville CoC,1029,VA-504,Complete,2023,9845,Shelter for Help In Emergency,SHE,Yes,43448,Emergency Shelter,36,1/25/2023 0:00,ES,F,519003,0,C,NA,DV,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,Site-based – single site,1,NA,NA,NA,NA,NA,2,2,0,0,NA,4,0,0,NA,0,NA,6,6,0,NA,NA,0,6,6,4/28/2023 18:56,NA,0,1,NA,NA,0,NA,NA
618514,VA,Charlottesville CoC,1029,VA-504,Complete,2023,9845,Shelter for Help In Emergency,SHE,Yes,158289,SHE - Transitional Housing,100,1/25/2023 0:00,TH,NA,510264,0,C,NA,DV,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,1,VAWA,Site-based – single site,1,NA,NA,NA,NA,NA,9,4,0,0,NA,0,0,0,NA,0,NA,9,9,NA,NA,NA,NA,9,9,4/28/2023 18:57,NA,0,1,NA,NA,0,NA,NA
618505,VA,Charlottesville CoC,1029,VA-504,Complete,2023,42187,Albemarle County DSS,69,NA,114939,Emergency Hotel Vouchers,33,1/25/2023 0:00,ES,V,519003,1,C,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,Tenant-based – scattered site,0,1600 5TH ST,NA,CHARLOTTESVLE,VA,22902,5,3,0,0,NA,0,0,0,NA,0,NA,5,NA,NA,NA,NA,NA,0,5,4/28/2023 18:28,NA,0,1,These hotel vouchers are issued on an as-needed basis. There happened to be no families being supported with hotel vouchers on the night of the PIT Count.,NA,0,NA,NA
618515,VA,Charlottesville CoC,1029,VA-504,Complete,2023,46319,Charlottesville Redevelopment and Housing Authority,CRHA,NA,158290,EHV,52,1/25/2023 0:00,OPH,NA,510264,1,C,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,1,0,NA,Tenant-based – scattered site,0,817 Hardy Dr.,NA,Charlottesville,VA,22902,0,0,0,0,NA,15,0,0,NA,0,NA,15,NA,NA,NA,NA,NA,16,15,7/10/2023 18:16,NA,0,1,NA,NA,0,NA,NA
618504,VA,Charlottesville CoC,1029,VA-504,Complete,2023,42186,Families in Crisis,6,NA,114937,Emergency Shelter Vouchers,13,1/25/2023 0:00,ES,V,519003,1,C,NA,NA,1,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,Tenant-based – scattered site,0,907 HENRY AVE,NA,CHARLOTTESVLE,VA,22903,5,1,0,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,5,4/28/2023 18:34,NA,0,1,These hotel vouchers are issued on an as-needed basis. There happened to be no families being supported with hotel vouchers on the night of the PIT Count.,NA,0,NA,NA
618503,VA,Charlottesville CoC,1029,VA-504,Complete,2023,42185,McGuire VA Medical Center,McGuire VA Medical Center - VASH,NA,114931,VASH,45,1/25/2023 0:00,PSH,NA,519003,0,C,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,Tenant-based – scattered site,0,1201 BROAD ROCK BLVD,NA,RICHMOND,VA,23249,5,1,5,4,3,17,17,0,17,0,0,22,NA,NA,NA,NA,NA,22,22,4/28/2023 18:40,NA,0,1,NA,NA,0,NA,NA
618509,VA,Charlottesville CoC,1029,VA-504,Complete,2023,23960,Monticello Area Community Action Agency (MACAA),MACAA - Transitional Housing,NA,58039,Hope House,16,1/25/2023 0:00,TH,NA,519003,1,C,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,Site-based – clustered / multiple sites,0,1025 PARK ST,NA,CHARLOTTESVLE,VA,22901,10,4,0,0,NA,0,0,0,NA,0,NA,10,NA,NA,NA,NA,NA,5,10,4/28/2023 18:41,NA,0,1,NA,NA,0,NA,NA
618507,VA,Charlottesville CoC,1029,VA-504,Complete,2023,9486,PACEM,PACEM - Emergency Shelter,NA,58040,"Seasonal, low barrier shelter",11,1/25/2023 0:00,ES,O,519003,0,C,NA,NA,1,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,Site-based – clustered / multiple sites,0,112 WEST MARKET ST,NA,CHARLOTTESVLE,VA,22902,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,49,10/31/2022 0:00,4/1/2023 0:00,0,49,49,4/28/2023 18:45,NA,0,1,NA,NA,0,NA,NA
618500,VA,Charlottesville CoC,1029,VA-504,Complete,2023,10593,Region 10 CSB,3,NA,114915,DBHDS Housing Program,92,1/25/2023 0:00,OPH,NA,519003,0,C,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,Tenant-based – scattered site,0,500 OLD LYNCHBURG RD,NA,CHARLOTTESVLE,VA,22903,0,0,0,0,NA,25,0,0,NA,0,NA,25,NA,NA,NA,NA,NA,25,25,4/28/2023 18:47,NA,0,1,NA,NA,0,NA,NA
618510,VA,Charlottesville CoC,1029,VA-504,Complete,2023,10593,Region 10 CSB,3,NA,95877,Housing Programs,10,1/25/2023 0:00,PSH,NA,519003,1,C,NA,NA,0,NA,NA,0,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,Tenant-based – scattered site,0,502 OLD LYNCHBURG RD,NA,CHARLOTTESVLE,VA,22903,0,0,0,0,0,40,0,0,40,0,0,40,NA,NA,NA,NA,NA,40,40,4/28/2023 18:48,NA,0,1,NA,NA,0,NA,NA
618506,VA,Charlottesville CoC,1029,VA-504,Complete,2023,6299,Salvation Army,Salvation Army,NA,28355,Emergency Shelter,31,1/25/2023 0:00,ES,F,519003,1,C,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,Site-based – single site,0,207 RIDGE ST,NA,CHARLOTTESVLE,VA,22902,0,0,0,0,NA,44,0,0,NA,0,NA,44,NA,NA,NA,NA,5,37,49,4/28/2023 18:54,NA,0,1,NA,High barrier shelter,0,NA,NA
618512,VA,Charlottesville CoC,1029,VA-504,Complete,2023,32853,The Haven,The Haven - Rapid Re-Housing,NA,95880,Rapid Re-Housing Program,15,1/25/2023 0:00,RRH,NA,519003,1,C,NA,NA,1,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,Tenant-based – scattered site,0,112 WEST MARKET ST,NA,CHARLOTTESVLE,VA,22902,4,2,0,0,NA,21,0,0,NA,0,NA,25,NA,NA,NA,NA,NA,25,25,4/28/2023 18:58,NA,0,1,NA,NA,0,NA,NA
618513,VA,Charlottesville CoC,1029,VA-504,Complete,2023,45269,Thomas Jefferson Area Coalition for the Homeless,TJACH,NA,150375,Non-Congregate Hotel Shelter,79,1/25/2023 0:00,ES,F,510264,1,C,NA,NA,1,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,Site-based – clustered / multiple sites,0,P.O. Box 34,NA,Charlottesville,VA,22902,0,0,0,0,NA,51,0,0,NA,0,NA,51,NA,0,NA,NA,0,51,51,4/28/2023 18:59,NA,0,1,NA,NA,1,COVID-19,NA
618502,VA,Charlottesville CoC,1029,VA-504,Complete,2023,42184,Thomas Jefferson Health District,18,NA,114929,HOPWA,44,1/25/2023 0:00,PSH,NA,519003,0,C,NA,HIV,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,Tenant-based – scattered site,0,1138 ROSE HILL DR,NA,CHARLOTTESVLE,VA,22903,0,0,0,0,0,28,0,0,0,0,0,28,NA,NA,NA,NA,NA,28,28,4/28/2023 19:00,NA,0,1,NA,NA,0,NA,NA
618501,VA,Charlottesville CoC,1029,VA-504,Complete,2023,16124,Virginia Supportive Housing,5,NA,114927,SSVF,37,1/25/2023 0:00,RRH,NA,519003,1,C,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,Tenant-based – scattered site,0,112 WEST MARKET ST,NA,CHARLOTTESVLE,VA,22902,0,0,0,0,NA,5,5,0,NA,0,NA,5,NA,NA,NA,NA,NA,5,5,4/28/2023 19:06,NA,0,1,NA,NA,0,NA,NA
