co_c_number,year,bedtype,beds
VA-504,2024,total_yearround_beds,80
VA-504,2024,total_seasonal_beds,55
VA-504,2024,total_rrh_beds,35
VA-504,2024,total_psh_beds,131
VA-504,2024,total_oph_beds,80
VA-504,2023,total_yearround_beds,130
VA-504,2023,total_seasonal_beds,49
VA-504,2023,total_rrh_beds,30
VA-504,2023,total_psh_beds,125
VA-504,2023,total_oph_beds,40
VA-504,2022,total_yearround_beds,230
VA-504,2022,total_seasonal_beds,24
VA-504,2022,total_rrh_beds,30
VA-504,2022,total_psh_beds,137
VA-504,2022,total_oph_beds,37
VA-504,2021,total_yearround_beds,191
VA-504,2021,total_seasonal_beds,24
VA-504,2021,total_rrh_beds,30
VA-504,2021,total_psh_beds,127
VA-504,2021,total_oph_beds,25
VA-504,2020,total_yearround_beds,107
VA-504,2020,total_seasonal_beds,72
VA-504,2020,total_rrh_beds,30
VA-504,2020,total_psh_beds,128
VA-504,2020,total_oph_beds,25
VA-504,2019,total_yearround_beds,114
VA-504,2019,total_seasonal_beds,65
VA-504,2019,total_rrh_beds,30
VA-504,2019,total_psh_beds,134
VA-504,2019,total_oph_beds,25
VA-504,2018,total_yearround_beds,114
VA-504,2018,total_seasonal_beds,65
VA-504,2018,total_rrh_beds,30
VA-504,2018,total_psh_beds,159
VA-504,2018,total_oph_beds,0
VA-504,2017,total_yearround_beds,109
VA-504,2017,total_seasonal_beds,65
VA-504,2017,total_rrh_beds,22
VA-504,2017,total_psh_beds,67
VA-504,2017,total_oph_beds,0
VA-504,2016,total_yearround_beds,131
VA-504,2016,total_seasonal_beds,65
VA-504,2016,total_rrh_beds,38
VA-504,2016,total_psh_beds,67
VA-504,2016,total_oph_beds,0
VA-504,2015,total_yearround_beds,161
VA-504,2015,total_seasonal_beds,65
VA-504,2015,total_rrh_beds,37
VA-504,2015,total_psh_beds,70
VA-504,2015,total_oph_beds,0
VA-504,2014,total_yearround_beds,166
VA-504,2014,total_seasonal_beds,58
VA-504,2014,total_rrh_beds,23
VA-504,2014,total_psh_beds,73
VA-504,2014,total_oph_beds,0
VA-504,2013,total_yearround_beds,143
VA-504,2013,total_seasonal_beds,65
VA-504,2013,total_rrh_beds,0
VA-504,2013,total_psh_beds,67
VA-504,2013,total_oph_beds,NA
VA-504,2012,total_yearround_beds,167
VA-504,2012,total_seasonal_beds,65
VA-504,2012,total_rrh_beds,NA
VA-504,2012,total_psh_beds,39
VA-504,2012,total_oph_beds,NA
VA-504,2011,total_yearround_beds,180
VA-504,2011,total_seasonal_beds,60
VA-504,2011,total_rrh_beds,NA
VA-504,2011,total_psh_beds,65
VA-504,2011,total_oph_beds,NA
VA-504,2010,total_yearround_beds,179
VA-504,2010,total_seasonal_beds,60
VA-504,2010,total_rrh_beds,NA
VA-504,2010,total_psh_beds,103
VA-504,2010,total_oph_beds,NA
VA-504,2009,total_yearround_beds,157
VA-504,2009,total_seasonal_beds,65
VA-504,2009,total_rrh_beds,NA
VA-504,2009,total_psh_beds,47
VA-504,2009,total_oph_beds,NA
VA-504,2008,total_yearround_beds,204
VA-504,2008,total_seasonal_beds,107
VA-504,2008,total_rrh_beds,NA
VA-504,2008,total_psh_beds,55
VA-504,2008,total_oph_beds,NA
VA-504,2007,total_yearround_beds,159
VA-504,2007,total_seasonal_beds,55
VA-504,2007,total_rrh_beds,NA
VA-504,2007,total_psh_beds,45
VA-504,2007,total_oph_beds,NA
